Nombre,Plataforma,Fecha_Salida,Score,Score_Jugadores,Desarrollador,Genero,Jugadores,Criticos,Usuarios,Anio,Mes,Numero_Dia,Nombre_Dia,Lista_Generos
Tryst,PC,2012-09-14,50,64.0,BlueGiantInteractive,"strategy,real-time,fantasy,general,command",>4,16,18,2012,9,14,Vie,"['strategy', 'real-time', 'fantasy', 'general', 'command']"
Valhalla Knights 2,PSP,2008-10-01,50,58.0,K2,"role-playing,actionrpg,actionrpg",2,13,15,2008,10,1,Mie,"['role-playing', 'actionrpg']"
Marvel Avengers: Battle for Earth,WiiU,2012-12-04,50,52.0,UbisoftQuebec,"action,general,general",No info,10,26,2012,12,4,Mar,"['action', 'general']"
Record of Agarest War Zero,PlayStation3,2011-06-14,50,63.0,CompileHeart,"strategy,turn-based,fantasy,fantasy,tactics",1,8,34,2011,6,14,Mar,"['tactics', 'strategy', 'fantasy', 'turn-based']"
Tom Clancy's Splinter Cell: Chaos Theory,DS,2005-06-28,50,72.0,Gameloft,"actionadventure,modern,general,modern",1,22,27,2005,6,28,Mar,"['actionadventure', 'general', 'modern']"
Vampire Moon: The Mystery of the Hidden Sun,DS,2010-10-12,50,0.0,CityInteractive,"miscellaneous,puzzle,puzzle,hiddenobject,general,puzzle,general",No info,8,0,2010,10,12,Mar,"['miscellaneous', 'general', 'puzzle', 'hiddenobject']"
Monopoly Party!,Xbox,2002-10-29,50,70.0,Runecraft,"miscellaneous,party",4,8,5,2002,10,29,Mar,"['miscellaneous', 'party']"
America,PC,2001-01-14,50,75.0,DataBecker,"strategy,real-time,historic,general,historic",No info,15,12,2001,1,14,Dom,"['historic', 'real-time', 'strategy', 'general']"
Modern Combat: Blackout,Switch,2019-02-14,50,40.0,Gameloft,"action,shooter,first-person,arcade",1,9,16,2019,2,14,Jue,"['arcade', 'action', 'shooter', 'first-person']"
Art of Murder: FBI Confidential,PC,2008-07-29,50,52.0,CityInteractive,"adventure,3d,modern,third-person,modern",No info,12,23,2008,7,29,Mar,"['third-person', 'adventure', '3d', 'modern']"
Legendary,PlayStation3,2008-11-04,50,72.0,SparkUnlimited,"action,shooter,shooter,first-person,fantasy,fantasy,arcade",1,31,36,2008,11,4,Mar,"['arcade', 'first-person', 'shooter', 'fantasy', 'action']"
Legendary,PC,2008-11-18,50,64.0,SparkUnlimited,"action,shooter,shooter,first-person,fantasy,fantasy,arcade",1,23,119,2008,11,18,Mar,"['arcade', 'first-person', 'shooter', 'fantasy', 'action']"
Don Bluth Presents: Dragon's Lair HD,PC,2006-08-25,50,53.0,"DigitalLeisureInc.,DigitalLeisure","action,adventure,interactivemovie,general,arcade",No info,12,6,2006,8,25,Vie,"['arcade', 'adventure', 'interactivemovie', 'general', 'action']"
Family Guy,PlayStation2,2006-10-16,50,57.0,HighVoltageSoftware,"adventure,general",1,35,27,2006,10,16,Lun,"['adventure', 'general']"
Animal Gods,PC,2015-10-12,50,0.0,StillGames,"role-playing,actionrpg",1,10,0,2015,10,12,Lun,"['role-playing', 'actionrpg']"
Marvel: Ultimate Alliance 2,Wii,2009-09-15,50,57.0,n-Space,"role-playing,actionrpg,actionrpg",4,8,20,2009,9,15,Mar,"['role-playing', 'actionrpg']"
Planet 51,PlayStation3,2009-11-17,50,0.0,PyroStudios,"action,general,general",1,11,0,2009,11,17,Mar,"['action', 'general']"
Soldier of Fortune: Payback,PlayStation3,2007-11-19,50,52.0,CauldronLtd.,"action,shooter,shooter,first-person,modern,modern,arcade",>4,14,17,2007,11,19,Lun,"['arcade', 'first-person', 'shooter', 'action', 'modern']"
Whiteout,PlayStation2,2002-11-24,50,0.0,VicariousVisions,"driving,racing,snow/water",2,12,0,2002,11,24,Dom,"['driving', 'racing', 'snow/water']"
WTA Tour Tennis,PlayStation2,2002-03-26,50,0.0,Konami,"sports,traditional,tennis",2,9,0,2002,3,26,Mar,"['traditional', 'tennis', 'sports']"
Reservoir Dogs,Xbox,2006-10-24,50,0.0,VolatileGames,"actionadventure,modern",1,29,0,2006,10,24,Mar,"['actionadventure', 'modern']"
Bakugan: Champions of Vestroia,Switch,2020-11-03,50,39.0,WayForward,"role-playing,actionrpg",1,16,14,2020,11,3,Mar,"['role-playing', 'actionrpg']"
Baroque,Wii,2008-04-08,50,83.0,Sting,"role-playing,general,actionrpg,roguelike",1,22,27,2008,4,8,Mar,"['role-playing', 'roguelike', 'actionrpg', 'general']"
50 Cent: Bulletproof,Xbox,2005-11-17,50,56.0,GenuineGames,"actionadventure,modern",No info,14,25,2005,11,17,Jue,"['actionadventure', 'modern']"
Spider-Man 3,PlayStation2,2007-05-04,50,67.0,VicariousVisions,"action,platformer,3d",1,14,40,2007,5,4,Vie,"['action', 'platformer', '3d']"
Pixel Piracy,PlayStation4,2016-02-16,50,24.0,AbstractionGames,"strategy,real-time,general",No info,7,7,2016,2,16,Mar,"['real-time', 'strategy', 'general']"
Planet Crashers (3DSWare),3DS,2012-07-26,50,45.0,RenegadeKid,"role-playing,console-stylerpg",No info,13,13,2012,7,26,Jue,"['role-playing', 'console-stylerpg']"
Kung-Fu Live,PlayStation3,2010-12-07,50,65.0,VirtualAirGuitarCompany,"action,fighting,fighting,3d,3d",No info,30,11,2010,12,7,Mar,"['action', 'fighting', '3d']"
Dead Block,Xbox360,2011-07-06,50,70.0,CandygunGames,"strategy,general,general",No info,20,21,2011,7,6,Mie,"['strategy', 'general']"
Daredevil,GameBoyAdvance,2003-02-02,50,76.0,GriptoniteGames,"action,platformer,2d",1,18,9,2003,2,2,Dom,"['2d', 'action', 'platformer']"
Rayman Arena,Xbox,2002-09-24,50,0.0,Ubisoft,"driving,racing,on-foot",4,7,0,2002,9,24,Mar,"['driving', 'on-foot', 'racing']"
xXx,GameBoyAdvance,2002-07-31,50,50.0,DigitalEclipse,"action,platformer,2d",1,13,4,2002,7,31,Mie,"['2d', 'action', 'platformer']"
Milanoir,Switch,2018-05-31,50,50.0,ItaloGames,"role-playing,general",>4,10,5,2018,5,31,Jue,"['role-playing', 'general']"
DreamWorks Kung Fu Panda 2,Xbox360,2011-05-24,50,46.0,THQ,"action,general,general",1,18,5,2011,5,24,Mar,"['action', 'general']"
Cars,GameBoyAdvance,2006-06-06,50,50.0,Helixe,"driving,mission-based",1,8,11,2006,6,6,Mar,"['driving', 'mission-based']"
Adrenalin Misfits,Xbox360,2010-11-04,50,0.0,Konami,"action,general,sports,alternative,individual,snowboarding,snowboarding,ski/snowboard",No info,32,0,2010,11,4,Jue,"['alternative', 'general', 'individual', 'ski/snowboard', 'action', 'sports', 'snowboarding']"
X-Men: The Official Game,GameCube,2006-05-16,50,63.0,Hypnos,"action,beat-'em-up",1,31,8,2006,5,16,Mar,"['action', ""beat-'em-up""]"
Celebrity Sports Showdown,Wii,2008-10-23,50,50.0,EACanada,"sports,general,general",4,12,20,2008,10,23,Jue,"['sports', 'general']"
