Nombre,Plataforma,Fecha_Salida,Score,Score_Jugadores,Desarrollador,Genero,Jugadores,Criticos,Usuarios,Anio,Mes,Numero_Dia,Nombre_Dia,Lista_Generos
World of Warriors,PlayStation4,2018-03-21,61,29.0,MindCandy,"action,general",4,12,10,2018,3,21,Mie,"['general', 'action']"
Blood Bowl,PSP,2010-04-13,61,60.0,Cyanide,"sports,alternative,team,individual,football,other,other,arcade",No info,9,4,2010,4,13,Mar,"['team', 'sports', 'other', 'individual', 'arcade', 'alternative', 'football']"
Up,Xbox360,2009-05-26,61,69.0,HeavyIronStudios,"actionadventure,modern,general,modern,linear",1,18,7,2009,5,26,Mar,"['general', 'linear', 'actionadventure', 'modern']"
Disney Hannah Montana: Music Jam,DS,2007-10-16,61,50.0,GorillaGames,"action,general,general",No info,10,6,2007,10,16,Mar,"['general', 'action']"
Heracles Chariot Racing,Wii,2009-07-06,61,0.0,NekoEntertainment,"driving,racing,arcade,other,other",4,11,0,2009,7,6,Lun,"['other', 'arcade', 'racing', 'driving']"
Tharsis,PC,2016-01-11,61,49.0,ChoiceProvisions,"miscellaneous,board/cardgame",1,23,47,2016,1,11,Lun,"['miscellaneous', 'board/cardgame']"
Tannenberg,PlayStation4,2020-07-24,61,0.0,M2H,"action,shooter,first-person,tactical",>4,10,0,2020,7,24,Vie,"['shooter', 'first-person', 'action', 'tactical']"
Dungeons 2,PlayStation4,2016-05-24,61,66.0,Kalypso,"strategy,general",4,9,25,2016,5,24,Mar,"['general', 'strategy']"
WE ARE DOOMED,PlayStation4,2015-04-14,61,61.0,VertexPop,"action,shooter,shoot-'em-up,horizontal",No info,9,21,2015,4,14,Mar,"['shooter', 'action', 'horizontal', ""shoot-'em-up""]"
Sixty Second Shooter Prime,XboxOne,2014-06-18,61,71.0,HappionLaboratories,"action,shooter,static,shoot-'em-up,top-down",No info,8,16,2014,6,18,Mie,"['static', 'shooter', 'top-down', 'action', ""shoot-'em-up""]"
Tom Clancy's Ghost Recon Advanced Warfighter 2,PSP,2007-08-23,61,52.0,"HighVoltageSoftware,UbisoftParis","action,shooter,shooter,first-person,tactical,modern,modern",2,12,12,2007,8,23,Jue,"['modern', 'first-person', 'shooter', 'action', 'tactical']"
Rayman 3D,3DS,2011-03-22,61,65.0,UbisoftCasablanca,"action,platformer,platformer,3d,3d",No info,39,55,2011,3,22,Mar,"['3d', 'action', 'platformer']"
Arcade Classics Anniversary Collection,Switch,2019-04-18,61,50.0,Konami,"miscellaneous,compilation",1,13,4,2019,4,18,Jue,"['compilation', 'miscellaneous']"
The Lord of the Rings: War in the North,Xbox360,2011-11-01,61,73.0,SnowblindStudios,"role-playing,actionrpg,actionrpg",3,48,128,2011,11,1,Mar,"['actionrpg', 'role-playing']"
Harry Potter and the Order of the Phoenix,PlayStation2,2007-06-25,61,56.0,EAGames,"actionadventure,fantasy",1,17,53,2007,6,25,Lun,"['fantasy', 'actionadventure']"
MX vs. ATV Alive,PlayStation3,2011-05-10,61,68.0,THQDigitalStudioPhoenix,"driving,racing,arcade,rally/offroad,motorcycle,other,motocross,motocross",>4,41,13,2011,5,10,Mar,"['other', 'rally/offroad', 'driving', 'arcade', 'motorcycle', 'motocross', 'racing']"
Dynasty Warriors 5 Empires,Xbox360,2006-03-28,61,82.0,OmegaForce,"action,beat-'em-up,beat-'em-up,3d",2,40,19,2006,3,28,Mar,"['action', ""beat-'em-up"", '3d']"
Friday the 13th: The Game,PC,2017-05-26,61,62.0,"IllFonic,GunMedia","horror,actionadventure,survival",No info,23,234,2017,5,26,Vie,"['horror', 'survival', 'actionadventure']"
Sword Art Online: Fatal Bullet,PC,2018-02-23,61,75.0,DimpsCorporation,"action,shooter,third-person,arcade",>4,7,54,2018,2,23,Vie,"['shooter', 'action', 'third-person', 'arcade']"
